ID zariadenia;Zákazník;Segment;Kraj;Typ zariadenia;Výrobca;Typové označenie;Dátum inštalácie;Záruka do;Prevádzkové hodiny;Menovitý tlak (bar);Prietok (l/min);Príkon (kW);Dátum posledného servisu;Typ posledného zásahu;Teplota oleja (°C);Čistota oleja (ISO 4406);Havarijné zásahy za 24 mes.;Náklady na diely za 24 mes. (EUR);Stav zariadenia
HYT-2001;Bukoza Plus a.s.;Drevospracujúci;Košický;Generátor dusíka;AXIOMA;AX-PP-67A;22.09.2014;21.09.2016;28895;12;25;23.0;31.01.2025;Havarijná oprava;;nemerané;2;1847,29;Na vyradenie
HYT-2002;Papierne Sever a.s.;Ostatné;Žilinský;Pneumatický ovládací panel;HYDROMET;HY-AT-83C;27.06.2021;26.06.2024;6985;8;970;22.0;28.11.2025;Preventívna prehliadka;;nemerané;0;832,09;V prevádzke
HYT-2003;Drevona Industry, a.s.;Drevospracujúci;Žilinský;Generátor dusíka;FLUIDMAX;FL-PC-63E;25.09.2016;25.09.2018;15802;12;25;21.2;09.05.2025;Havarijná oprava;;nemerané;1;1351,31;V prevádzke
HYT-2004;Zvárané konštrukcie SK s.r.o.;Strojárstvo;Trnavský;Chladič kvapalín;AXIOMA;AX-NG-96D;20.08.2025;19.08.2029;1428;6;85;43.4;01.05.2026;Havarijná oprava;54;19/17/14;0;495,53;V prevádzke
HYT-2005;Plastika Nitra s.r.o.;Ostatné;Nitriansky;Chladič kvapalín;FLUIDMAX;FL-FL-72C;09.03.2017;08.03.2020;17518;16;316;32.3;14.09.2026;Preventívna prehliadka;85;20/18/15;4;3698,07;V prevádzke
HYT-2006;Mobis Parts SK s.r.o.;Automotive;Žilinský;Filtračná stanica;HYDROMET;HY-GP-64G;27.09.2015;26.09.2019;24262;16;302;4.7;15.06.2026;Havarijná oprava;80;nemerané;1;795,50;V prevádzke
HYT-2007;Recykling SK s.r.o.;Ostatné;Košický;Pneumatický ovládací panel;iné / neznámy;IN-GP-41A;24.03.2020;24.03.2023;9972;7;1730;19.1;23.09.2026;Havarijná oprava;;16/14/11;0;0,00;V prevádzke
HYT-2008;Bioplyn Juh s.r.o.;Energetika;Nitriansky;Hydraulický agregát lisu;HYDROMET;HY-FL-98E;07.03.2020;07.03.2023;7639;250;174;44.8;14.03.2025;Preventívna prehliadka;50;nemerané;0;0,00;V prevádzke
HYT-2009;PotravinaSK a.s.;Potravinárstvo;Nitriansky;Hydraulický agregát píly;FLUIDMAX;FL-PC-13A;12.08.2022;11.08.2024;9232;315;103;40.0;07.06.2026;Havarijná oprava;49;17/15/12;0;1092,49;V prevádzke
HYT-2010;Metalform Považie a.s.;Strojárstvo;Trenčiansky;Pneumatický ovládací panel;FLUIDMAX;FL-AT-18E;24.05.2019;23.05.2022;10698;6;1219;21.0;26.01.2025;Havarijná oprava;;17/15/12;1;672,24;V prevádzke
HYT-2011;Pivovar Šariš Trade s.r.o.;Potravinárstvo;Prešovský;Hydraulický agregát lisu;FLUIDMAX;FL-FL-27B;25.04.2022;24.04.2024;8879;160;140;65.6;01.12.2024;Diagnostika a meranie;57;19/17/14;0;303,02;V prevádzke
HYT-2012;Papierne Sever a.s.;Ostatné;Žilinský;Čerpadlová jednotka;FLUIDMAX;FL-FL-77G;30.08.2016;29.08.2020;16177;160;123;25.6;25.07.2025;Preventívna prehliadka;58;19/17/14;0;605,20;V prevádzke
HYT-2013;Lisovňa Nitra s.r.o.;Automotive;Nitriansky;Hydraulický agregát píly;PNEUTECH;PN-PC-78B;05.01.2021;05.01.2023;14461;280;109;33.0;28.09.2025;Havarijná oprava;55;nemerané;2;720,47;V prevádzke
HYT-2014;Bukoza Plus a.s.;Drevospracujúci;Košický;Hydraulický zdvíhací stôl;HYDROMET;HY-FL-50C;24.05.2021;23.05.2025;7502;250;167;13.4;24.07.2026;Výmena filtračnej vložky;59;17/15/12;0;333,51;V prevádzke
HYT-2015;Teplárne Stred a.s.;Energetika;Banskobystrický;Hydraulický agregát píly;FLUIDMAX;FL-PP-97E;23.02.2019;22.02.2021;10214;160;28;33.2;17.06.2026;Preventívna prehliadka;60;21/19/16;1;1057,89;V prevádzke
HYT-2016;Teplárne Stred a.s.;Energetika;Banskobystrický;Generátor dusíka;FLUIDMAX;FL-PC-74F;23.12.2015;22.12.2019;21156;12;25;6.7;31.10.2024;Výmena filtračnej vložky;;nemerané;0;1033,38;V prevádzke
HYT-2017;Lisovňa Nitra s.r.o.;Automotive;Nitriansky;Rozvod stlačeného vzduchu;FLUIDMAX;FL-PP-79C;19.03.2018;18.03.2020;18355;10;248;7.3;23.11.2025;Výmena filtračnej vložky;;nemerané;1;92,26;V prevádzke
HYT-2018;Mobis Parts SK s.r.o.;Automotive;Žilinský;Chladič kvapalín;FLUIDMAX;FL-AT-38G;05.09.2023;04.09.2025;5997;6;79;8.3;08.02.2025;Preventívna prehliadka;62;18/16/13;0;27,81;V prevádzke
HYT-2019;AutoDiel Trnava s.r.o.;Automotive;Trnavský;Čerpadlová jednotka;AXIOMA;AX-AT-75G;20.04.2017;19.04.2020;21138;210;30;5.2;21.12.2024;Diagnostika a meranie;75;20/18/15;3;2240,81;V prevádzke
HYT-2020;Lisovňa Nitra s.r.o.;Automotive;Nitriansky;Generátor dusíka;AXIOMA;AX-FL-45C;31.01.2019;30.01.2021;15472;8;25;36.3;11.08.2025;Havarijná oprava;;20/18/15;3;2467,33;V prevádzke
HYT-2021;Mobis Parts SK s.r.o.;Automotive;Žilinský;Generátor dusíka;FLUIDMAX;FL-AT-62G;10.12.2015;09.12.2019;24638;12;25;15.3;26.09.2025;Výmena filtračnej vložky;;nemerané;1;1924,12;V prevádzke
HYT-2022;Tatrawood s.r.o.;Drevospracujúci;Prešovský;Čerpadlová jednotka;FLUIDMAX;FL-PC-92F;04.11.2017;03.11.2021;19083;210;50;74.9;14.02.2025;Preventívna prehliadka;52;19/17/14;1;610,51;Odstavené
HYT-2023;KOVO Press Slovakia a.s.;Automotive;Trenčiansky;Chladič kvapalín;FLUIDMAX;FL-AT-90A;08.01.2023;07.01.2026;5470;10;218;4.7;18.03.2025;Havarijná oprava;76;20/18/15;2;1957,82;V prevádzke
HYT-2024;Bioplyn Juh s.r.o.;Energetika;Nitriansky;Pneumatický ovládací panel;iné / neznámy;IN-CH-37E;24.03.2018;23.03.2022;10146;6;567;8.0;04.12.2024;Výmena filtračnej vložky;;nemerané;2;2077,26;V prevádzke
HYT-2025;AutoDiel Trnava s.r.o.;Automotive;Trnavský;Hydraulický zdvíhací stôl;AXIOMA;AX-CH-97G;14.05.2023;13.05.2025;8712;280;52;66.1;02.10.2025;Havarijná oprava;49;17/15/12;0;0,00;V prevádzke
HYT-2026;TechnoMach Prievidza s.r.o.;Strojárstvo;Trenčiansky;Hydraulický zdvíhací stôl;FLUIDMAX;FL-GP-35G;27.08.2024;27.08.2026;4763;250;92;57.5;20.11.2024;Výmena filtračnej vložky;49;17/15/12;0;365,14;V prevádzke
